,order_id,product_id,store_id,product_name,product_category,city,date_of_sale,quantity_sold,sales_amount,month,year
0,1,52,1,CodeComet,Software Development Tools,Tokyo,2022-01-01,8,303.29,1,2022
1,2,83,3,SyntaxScribe,Software Development Tools,Yokohama,2022-01-01,8,173.53,1,2022
2,3,24,3,CodeCanvas,Software Development Tools,Yokohama,2022-01-02,6,37.72,1,2022
3,4,88,2,VarVista Pro,Educational Tools,Osaka,2022-01-02,6,10.47,1,2022
4,5,60,1,LoopLantern,Creative & Design Tools,Tokyo,2022-01-03,1,159.1,1,2022
5,6,22,1,EchoEngine,Technology & Gadgets,Tokyo,2022-01-03,9,152.73,1,2022
6,7,59,3,AlgoAurora,Creative & Design Tools,Yokohama,2022-01-04,3,197.41,1,2022
7,8,64,1,LogicLark,Software Development Tools,Tokyo,2022-01-04,3,431.26,1,2022
8,9,4,1,ByteBreeze,Creative & Design Tools,Tokyo,2022-01-05,2,198.86,1,2022
9,10,7,1,LogicLoom,Software Development Tools,Tokyo,2022-01-05,9,41.95,1,2022
10,11,60,3,LoopLantern,Creative & Design Tools,Yokohama,2022-01-06,8,26.93,1,2022
11,12,90,1,ModuleMagic,Technology & Gadgets,Tokyo,2022-01-06,2,345.21,1,2022
12,13,78,1,AlgoAir,Technology & Gadgets,Tokyo,2022-01-07,4,99.34,1,2022
13,14,4,2,ByteBreeze,Creative & Design Tools,Osaka,2022-01-07,6,111.93,1,2022
14,15,34,2,LoopLuxe,Creative & Design Tools,Osaka,2022-01-08,4,302.92,1,2022
15,16,4,2,ByteBreeze,Creative & Design Tools,Osaka,2022-01-08,2,389.73,1,2022
16,17,62,1,MethodMingle Pro,Educational Tools,Tokyo,2022-01-09,2,274.42,1,2022
17,18,48,3,DataDynamo,Data Analysis & Management,Yokohama,2022-01-09,8,289.48,1,2022
18,19,24,2,CodeCanvas,Software Development Tools,Osaka,2022-01-10,9,147.68,1,2022
19,20,41,1,CodeCraft,Software Development Tools,Tokyo,2022-01-10,1,17.75,1,2022
20,21,9,1,DevDive,Software Development Tools,Tokyo,2022-01-11,8,12.79,1,2022
21,22,11,3,FunctionFusion,Software Development Tools,Yokohama,2022-01-11,1,358.48,1,2022
22,23,41,3,CodeCraft,Software Development Tools,Yokohama,2022-01-12,9,315.36,1,2022
23,24,35,1,StringStream,Software Development Tools,Tokyo,2022-01-12,5,463.76,1,2022
24,25,34,1,LoopLuxe,Creative & Design Tools,Tokyo,2022-01-13,7,162.4,1,2022
25,26,88,1,VarVista Pro,Educational Tools,Tokyo,2022-01-13,3,299.69,1,2022
26,27,86,3,CodeCatalyst,Software Development Tools,Yokohama,2022-01-14,3,241.37,1,2022
27,28,47,2,PixelPulse Pro,Creative & Design Tools,Osaka,2022-01-14,3,382.7,1,2022
28,29,90,3,ModuleMagic,Technology & Gadgets,Yokohama,2022-01-15,7,29.89,1,2022
29,30,79,3,ClassCruise,Educational Tools,Yokohama,2022-01-15,3,25.48,1,2022
30,31,52,1,CodeComet,Software Development Tools,Tokyo,2022-01-16,4,454.59,1,2022
31,32,23,3,BinaryBloom,Creative & Design Tools,Yokohama,2022-01-16,4,471.87,1,2022
32,33,71,3,StringStar,Software Development Tools,Yokohama,2022-01-17,3,89.05,1,2022
33,34,66,2,ModuleMuse Pro,Creative & Design Tools,Osaka,2022-01-17,9,61.76,1,2022
34,35,28,2,FunctionFleet,Software Development Tools,Osaka,2022-01-18,7,448.97,1,2022
35,36,62,1,MethodMingle Pro,Educational Tools,Tokyo,2022-01-18,1,121.73,1,2022
36,37,3,3,AlgoCraft,Creative & Design Tools,Yokohama,2022-01-19,6,260.24,1,2022
37,38,62,1,MethodMingle Pro,Educational Tools,Tokyo,2022-01-19,4,182.77,1,2022
38,39,44,3,SyntaxStar,Software Development Tools,Yokohama,2022-01-20,6,117.23,1,2022
39,40,9,2,DevDive,Software Development Tools,Osaka,2022-01-20,5,349.22,1,2022
40,41,88,1,VarVista Pro,Educational Tools,Tokyo,2022-01-21,4,188.18,1,2022
41,42,58,2,DevDynamo,Software Development Tools,Osaka,2022-01-21,7,253.63,1,2022
42,43,56,1,LambdaLyric,Educational Tools,Tokyo,2022-01-22,1,488.41,1,2022
43,44,92,2,EchoElite Pro,Technology & Gadgets,Osaka,2022-01-22,7,146.56,1,2022
44,45,97,1,AlgoAria Pro,Technology & Gadgets,Tokyo,2022-01-23,3,343.48,1,2022
45,46,53,2,BinaryBlaze,Technology & Gadgets,Osaka,2022-01-23,6,128.64,1,2022
46,47,68,3,FunctionFusion Pro,Software Development Tools,Yokohama,2022-01-24,8,126.48,1,2022
47,48,38,1,CircuitCruise,Technology & Gadgets,Tokyo,2022-01-24,4,491.74,1,2022
48,49,59,2,AlgoAurora,Creative & Design Tools,Osaka,2022-01-25,3,299.49,1,2022
49,50,86,3,CodeCatalyst,Software Development Tools,Yokohama,2022-01-25,1,83.91,1,2022
50,51,59,3,AlgoAurora,Creative & Design Tools,Yokohama,2022-01-26,3,406.56,1,2022
51,52,20,3,VarVoyage,Educational Tools,Yokohama,2022-01-26,4,470.73,1,2022
52,53,11,1,FunctionFusion,Software Development Tools,Tokyo,2022-01-27,9,112.49,1,2022
53,54,40,3,LambdaLark,Educational Tools,Yokohama,2022-01-27,2,420.38,1,2022
54,55,31,2,BitBliss,Creative & Design Tools,Osaka,2022-01-28,3,122.03,1,2022
55,56,16,2,StringScribe,Software Development Tools,Osaka,2022-01-28,9,263.12,1,2022
56,57,2,1,ScriptSprint,Software Development Tools,Tokyo,2022-01-29,5,451.09,1,2022
57,58,9,1,DevDive,Software Development Tools,Tokyo,2022-01-29,3,353.1,1,2022
58,59,80,3,FlowFleet,Technology & Gadgets,Yokohama,2022-01-30,4,444.56,1,2022
59,60,33,3,BinaryBard,Software Development Tools,Yokohama,2022-01-30,1,89.25,1,2022
60,61,89,3,StringStream Pro,Software Development Tools,Yokohama,2022-01-31,9,12.57,1,2022
61,62,38,2,CircuitCruise,Technology & Gadgets,Osaka,2022-01-31,3,192.42,1,2022
62,63,61,1,ScriptSage,Software Development Tools,Tokyo,2022-02-01,4,358.89,2,2022
63,64,82,2,LoopLyric,Creative & Design Tools,Osaka,2022-02-01,6,229.71,2,2022
64,65,8,3,FlowForge,Technology & Gadgets,Yokohama,2022-02-02,3,332.17,2,2022
65,66,33,2,BinaryBard,Software Development Tools,Osaka,2022-02-02,5,97.67,2,2022
66,67,33,3,BinaryBard,Software Development Tools,Yokohama,2022-02-03,3,321.75,2,2022
67,68,22,2,EchoEngine,Technology & Gadgets,Osaka,2022-02-03,6,489.52,2,2022
68,69,51,2,FlowFusion,Technology & Gadgets,Osaka,2022-02-04,8,319.2,2,2022
69,70,98,1,CodeCruise Plus,Software Development Tools,Tokyo,2022-02-04,1,292.64,2,2022
70,71,64,1,LogicLark,Software Development Tools,Tokyo,2022-02-05,5,122.83,2,2022
71,72,48,3,DataDynamo,Data Analysis & Management,Yokohama,2022-02-05,4,22.0,2,2022
72,73,37,1,DataDream,Data Analysis & Management,Tokyo,2022-02-06,1,280.82,2,2022
73,74,49,1,StringSage,Software Development Tools,Tokyo,2022-02-06,5,442.8,2,2022
74,75,85,3,CircuitCraft,Creative & Design Tools,Yokohama,2022-02-07,1,165.31,2,2022
75,76,95,3,LambdaLegend,Educational Tools,Yokohama,2022-02-07,1,46.99,2,2022
76,77,46,2,AlgoAtlas,Data Analysis & Management,Osaka,2022-02-08,6,185.74,2,2022
77,78,18,1,PixelPulse,Creative & Design Tools,Tokyo,2022-02-08,6,350.98,2,2022
78,79,33,1,BinaryBard,Software Development Tools,Tokyo,2022-02-09,6,186.16,2,2022
79,80,27,2,ScriptSeeker,Software Development Tools,Osaka,2022-02-09,2,168.07,2,2022
80,81,50,1,MethodMajesty,Educational Tools,Tokyo,2022-02-10,8,457.37,2,2022
81,82,93,2,DataDream Pro,Data Analysis & Management,Osaka,2022-02-10,7,215.69,2,2022
82,83,65,2,SyntaxSeeker,Software Development Tools,Osaka,2022-02-11,3,175.63,2,2022
83,84,7,1,LogicLoom,Software Development Tools,Tokyo,2022-02-11,4,401.07,2,2022
84,85,92,2,EchoElite Pro,Technology & Gadgets,Osaka,2022-02-12,2,224.84,2,2022
85,86,63,2,ClassCraft,Educational Tools,Osaka,2022-02-12,3,238.13,2,2022
86,87,86,1,CodeCatalyst,Software Development Tools,Tokyo,2022-02-13,4,29.11,2,2022
87,88,63,2,ClassCraft,Educational Tools,Osaka,2022-02-13,6,299.46,2,2022
88,89,15,2,LoopLark,Creative & Design Tools,Osaka,2022-02-14,5,265.87,2,2022
89,90,53,1,BinaryBlaze,Technology & Gadgets,Tokyo,2022-02-14,7,51.89,2,2022
90,91,96,2,FunctionFleet Pro,Software Development Tools,Osaka,2022-02-15,3,322.28,2,2022
91,92,52,1,CodeComet,Software Development Tools,Tokyo,2022-02-15,2,262.96,2,2022
92,93,30,3,SyntaxSail,Software Development Tools,Yokohama,2022-02-16,1,205.42,2,2022
93,94,19,2,MethodMingle,Educational Tools,Osaka,2022-02-16,7,132.95,2,2022
94,95,90,1,ModuleMagic,Technology & Gadgets,Tokyo,2022-02-17,7,219.87,2,2022
95,96,12,1,BitBard,Software Development Tools,Tokyo,2022-02-17,1,94.96,2,2022
96,97,1,3,CodeNest IDE,Software Development Tools,Yokohama,2022-02-18,2,127.53,2,2022
97,98,48,1,DataDynamo,Data Analysis & Management,Tokyo,2022-02-18,8,467.84,2,2022
98,99,1,1,CodeNest IDE,Software Development Tools,Tokyo,2022-02-19,7,331.92,2,2022
99,100,69,2,BitBard Plus,Software Development Tools,Osaka,2022-02-19,7,33.46,2,2022
100,101,26,3,AlgoAria,Technology & Gadgets,Yokohama,2022-02-20,5,68.94,2,2022
101,102,29,2,PixelPioneer,Creative & Design Tools,Osaka,2022-02-20,5,56.21,2,2022
102,103,94,2,SyntaxStar Plus,Software Development Tools,Osaka,2022-02-21,4,95.96,2,2022
103,104,16,2,StringScribe,Software Development Tools,Osaka,2022-02-21,5,241.98,2,2022
